post_id,user_id,caption,location
1,24,HEY!!,"VHA JHA KOI AATA JAATA NI"
2,28,"Live a good story.","The Red Fort, Delhi."
3,37,"Escape the ordinary.","The Taj Mahal, Agra."
4,23,"The best is yet to come.","Pangong Lake, Ladakh."
5,35,"These are days we live for.","Valley of Flowers, Nainital."
6,36,"Life happens, coffee helps.","Jaisalmer Fort, Jaisalmer."
7,37,"Short sassy cute & classy.","Ruins of Hampi, Karnataka."
8,6,"The future is bright.","Ghats at Varanasi, Uttar Pradesh."
9,7,"Namastay in bed.","Backwaters, Kerala."
10,44,"I have more issues than vogue.",abhayapuri
11,5,"Life is short. Smile while you still have teeth.",achabbal
12,32,"Ah, a perfectly captured selfie!",achalpur
13,4,"Let’s just be who we are.",achhnera
14,47,"One bad chapter doesn’t mean your story is over.",adari
15,30,"Cinderella never asked for a prince.",adalaj
16,35,"A selfie is worth a thousand words.",adilabad
17,9,"Born to stand out with selfies.",adityana
18,13,"I’m sorry I exist, here, a selfie.",pereyaapatna
19,2,….,adoni
20,20,dfgfsggf,adoor
21,11,4545,adyar
22,38,007@,adra
23,4,",,,,",afzalpura
24,6,…..,agartala
25,14,;;;@,agra
26,14,.,ahiwara
27,16,…,ahmedabad
28,23,….....,ahmedgarh
29,9,…..,ahmednagar
30,15,.///,ahmedpur
31,21,???/,aizawl
32,5,"//""//",ajmer
33,1,"Selfie on fleek.",ajra
34,25,"This is how to become a heart breaker.",akaltara
35,40,"No guts, no story.",akathiyoor
36,26,"The selfie is the worst judge of beauty.",akhnoor
37,4,"Nobody’s perfect…but I’m close.",akkalkot
38,38,"Does this selfie make me look fat?",akola
39,47,"Rate this selfie from 1-10.",akot
40,39,"But first… let me take a selfie.",alandha
41,5,"Gracing your feed with this fabulous selfie.",alandi
42,47,"Mirror: “You look cute today.” Camera: “LOL, no.”",alang
43,42,"Life is like a mirror, we get the best results when we smile.",alappuzha
44,42,"Smile at the world, and she’ll smile back.",aldona
45,3,"Keep the Smile On!",alibag
46,7,"Please don’t download my Selfie, you may fall in love with me.",aligarh
47,18,"Silly girls are the best.",alipurduar
48,47,"I am not a selfie expert.",allahabad
49,23,"Life is better when you’re smiling.",almora
50,7,"I don’t take selfies all the time, just every day.",aalanavara
51,43,"Be the best version of yourself.",along
52,3,"Beauty begins the moment you decide to be yourself.",alur
53,11,"Do more of what makes you happy.",assam
54,22,Anti-You.,"jammu and kashmir"
55,42,"Sometimes I’m in a selfie mood.",maharashtra
56,34,"I am not taking a selfie, I am just checking my camera quality.",maharashtra
57,40,"Animal selfies are the best selfies.","uttar pradesh"
58,40,"Selfie Time!","west bengal"
59,20,"Simplicity is the key to brilliance.","uttar pradesh"
60,37,"There is beauty in simplicity.",uttarakhand
61,10,"Be obsessively grateful.",karnataka
62,9,"May your day feel as good as taking this perfect selfie on the first try.","arunachal pradesh"
63,14,"I’m not lazy, just relaxed.",maharashtra
64,13,"Dinner time is selfie time.",maharashtra
65,7,"I must have no selfie control.",karnataka
66,20,All-natural.,maharashtra
67,17,"May your day feel as good as taking this perfect selfie on the first try.",gujarat
68,12,"My favorite part about this selfie is the invisible crown.",kerala
69,37,"Keep calm and take a selfie.",goa
70,40,"Some call it arrogant, I call it confidence.","uttar pradesh"
71,29,"I woke up like this; flawless.",gujarat
72,31,"“Who said I was an angel?”","andhra pradesh"
73,8,"Bout to make me give you a reason to be insecure.",gujarat
74,37,"Dress like you’re already famous!",karnataka
75,5,"You’re not fully dressed until you sparkle.","andhra pradesh"
76,19,"Normal is boring for me.",kerala
77,19,"I am not trying to be cool, It’s what I am.",karnataka
78,38,"I collect smiles, and then I give them away.","west bengal"
79,29,"A girl should be like a butterfly. Pretty to see, hard to catch.",karnataka
80,18,"Queen of own world.",tripura
81,37,"Being sexy is about attitude possessed, not a body type. It’s a state of mind.","uttar pradesh"
82,26,"Sexy is being confident, independent, and having fun.",chhattisgarh
83,40,"If you cannot do great things, do small things in a great way.",gujarat
84,29,"She turned her can’t into cans & her dreams into plans.",punjab
85,27,"Coffee in one hand, Confidence in other.",maharashtra
86,27,"Short hair, don’t care.",maharashtra
87,16,"Be your own reason to smile.",mizoram
88,14,"Seek respect, not attention.",rajasthan
89,43,"I dress to impress myself.",maharashtra
90,30,"A smile is the best makeup a girl can wear.",chhattisgarh
91,3,"She was like a moon, a part of her always stayed hidden.",kerala
92,11,"Smile with your eyes.","jammu and kashmir"
93,45,"Life is too short to wear boring clothes.",maharashtra
94,44,"Lift up your head princess, if not the crown falls.","The Red Fort, Delhi."
95,26,"Dressing well is the best revenge.","The Taj Mahal, Agra."
96,47,"I don’t worry. I don’t doubt it. I’m daring. I’m a rebel.","Pangong Lake, Ladakh."
97,7,"Life happens, coffee helps.","Valley of Flowers, Nainital."
98,50,"You must be bold, brave, and courageous and find a way… to get in the way.","Jaisalmer Fort, Jaisalmer."
99,30,"Don’t stop when you are tired. Stop when you are done!","Ruins of Hampi, Karnataka."
100,36,"This is my moment I just feel so alive.","Ghats at Varanasi, Uttar Pradesh."
